School Id,Primary Domain,IG Followers (CD Output),Enrolled Students,# Products with 5 or more students enrolled,Custom Primary Domain,PO Business Email,Qt Admins,Has Student (All),Has Student (Currenty Active Only),Set Up,School is a High Importer,Final Category - All Students,Final Category - Currently Active Students,Final Category,Which Category
159177.0,www.jugglingcare.com,,60,9,true,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
620108.0,wonder-yoga.teachable.com,,226,12,false,true,3,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
675901.0,infinita.teachable.com,,877,2,false,true,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
845597.0,www.naradacenter.com,4154.0,1452,106,true,true,8,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
1657920.0,yfs-ltd.teachable.com,,106,1,false,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2442315.0,www.celtlms.com,2609.0,90,24,true,true,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
2448156.0,courses.climatereadyleaders.com,,55,2,true,false,3,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
2525037.0,academy.carmelograssi.it,,77,3,true,false,1,true,false,true,true,LMS/Bypasser,Aspiring,LMS/Bypasser,only one
30882.0,fixnation.teachable.com,,14636,1,false,true,1,true,true,true,false,Aspiring,LMS/Bypasser,LMS/Bypasser,only one
252444.0,ikeraguirre.teachable.com,,778,17,false,true,1,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
673684.0,syndicateu.teachable.com,,2742,35,false,true,4,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
699324.0,www.algoseacow.com,,152,22,true,false,3,true,true,true,true,LMS/Bypasser,LMS/Bypasser,LMS/Bypasser,both
